<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20170811,000000,53.3000000,53.4000000,50.9000000,53.2000000,760
20170814,000000,53.4000000,56.8000000,53.1000000,54.9000000,2280
20170815,000000,54.1000000,55.0000000,53.8000000,54.4000000,510
20170816,000000,55.0000000,56.0000000,54.5000000,56.0000000,570
20170817,000000,56.0000000,59.5000000,56.0000000,56.1000000,1190
20170818,000000,56.9000000,59.8000000,55.9000000,57.6000000,310
20170821,000000,58.0000000,59.0000000,58.0000000,58.0000000,50
20170822,000000,57.1000000,57.9000000,55.0000000,56.1000000,450
20170823,000000,55.8000000,55.8000000,55.8000000,55.8000000,10
20170824,000000,55.9000000,59.9000000,52.6000000,56.0000000,730
20170825,000000,56.0000000,56.1000000,53.5000000,53.5000000,330
20170828,000000,53.2000000,55.5000000,53.2000000,54.9000000,220
20170829,000000,54.9000000,54.9000000,54.9000000,54.9000000,10
20170830,000000,55.0000000,55.9000000,54.7000000,55.8000000,80
20170831,000000,56.0000000,56.1000000,56.0000000,56.1000000,120
20170901,000000,54.1000000,60.9000000,54.1000000,58.9000000,2500
20170904,000000,57.1000000,58.1000000,57.1000000,58.0000000,60
20170905,000000,58.0000000,58.8000000,57.4000000,58.5000000,110
20170906,000000,58.3000000,59.5000000,58.3000000,59.5000000,100
20170907,000000,59.0000000,59.1000000,59.0000000,59.0000000,30
20170908,000000,58.2000000,58.9000000,57.0000000,58.0000000,150
20170911,000000,59.2000000,59.2000000,55.6000000,57.6000000,2390
20170912,000000,58.0000000,58.0000000,58.0000000,58.0000000,10
20170913,000000,55.9000000,58.1000000,55.9000000,57.9000000,140
20170915,000000,56.4000000,57.9000000,56.4000000,57.9000000,20
20170918,000000,56.0000000,61.5000000,53.5000000,57.5000000,1340
20170919,000000,58.6000000,58.6000000,57.3000000,57.5000000,870
20170920,000000,57.2000000,57.7000000,57.0000000,57.5000000,120
20170921,000000,55.9000000,60.7000000,51.0000000,53.8000000,2890
20170922,000000,55.7000000,56.8000000,55.2000000,55.9000000,340
20170925,000000,57.0000000,57.1000000,55.5000000,56.0000000,390
20170926,000000,56.5000000,56.6000000,56.1000000,56.6000000,50
20170927,000000,56.0000000,57.0000000,56.0000000,56.8000000,960
20170928,000000,57.0000000,59.0000000,56.3000000,56.9000000,480
20170929,000000,59.9000000,59.9000000,58.0000000,58.0000000,160
20171002,000000,58.0000000,59.0000000,55.6000000,57.0000000,250
20171003,000000,56.4000000,58.0000000,50.9000000,57.0000000,740
20171004,000000,56.4000000,56.7000000,55.1000000,56.0000000,230
20171005,000000,55.7000000,55.7000000,55.7000000,55.7000000,20
20171006,000000,55.5000000,56.6000000,55.5000000,55.5000000,270
20171009,000000,56.9000000,57.0000000,56.0000000,56.7000000,150
20171010,000000,56.4000000,56.7000000,56.3000000,56.3000000,80
20171011,000000,56.3000000,56.3000000,55.8000000,56.0000000,100
20171012,000000,56.2000000,56.2000000,55.3000000,56.2000000,70
20171013,000000,56.4000000,56.9000000,56.4000000,56.8000000,130
20171016,000000,56.7000000,56.9000000,56.7000000,56.9000000,30
20171017,000000,56.9000000,56.9000000,56.9000000,56.9000000,20
20171018,000000,55.5000000,56.0000000,50.8000000,55.5000000,1580
20171019,000000,55.8000000,55.8000000,54.8000000,54.8000000,20
20171020,000000,55.7000000,55.9000000,55.0000000,55.9000000,160
20171023,000000,55.0000000,56.0000000,55.0000000,56.0000000,130
